subfolder,meas-id,Day,Date,Planned Time,Planned ID,Start Timestamp,Stop Timestamp,Drive Type,pc_4,pc_2,pc_3,pc_1,sl_4,sl_2,sl_3,sl_1
meas-00,0,Tuesday,22.06.2021,09:00,0,22.06.2021 09:49,22.06.2021 11:08,Platoon,A3DT,A3DV,A3DV,A3DT,S1,S1,S1,S1
meas-01,1,Tuesday,22.06.2021,10:00,1,22.06.2021 11:26,22.06.2021 12:24,Platoon,A3DT,A2DV,A2DV,A3DT,S1,S1,S1,S1
meas-02,2,Tuesday,22.06.2021,13:00,3,22.06.2021 14:33,22.06.2021 15:45,Platoon,A3DT,A2DV,A2DV,A3DT,S2,S2,S2,S2
meas-03,3,Tuesday,22.06.2021,14:00,4,22.06.2021 15:56,22.06.2021 17:17,Platoon,A2DT,A3DV,A3DV,A2DT,S2,S2,S2,S2
meas-04,4,Tuesday,22.06.2021,15:00,5,22.06.2021 17:24,22.06.2021 18:14,Platoon,A2DT,A3DV,A3DV,A2DT,S1,S1,S1,S1
meas-05,5,Wednesday,23.06.2021,09:00,6,23.06.2021 09:29,23.06.2021 10:22,Platoon,A3UT,A3UV,A3UV,A3UT,S1,S1,S1,S1
meas-06,6,Wednesday,23.06.2021,10:00,7,23.06.2021 10:34,23.06.2021 11:28,Platoon,A3UT,A3UV,A3UV,A3UT,S1,S1,S1,S1
meas-07,7,Wednesday,23.06.2021,11:00,8,23.06.2021 11:30,23.06.2021 12:16,Platoon,A3UT,A3UV,A3UV,A3UT,S1,S1,S1,S1
meas-08,8,Wednesday,23.06.2021,13:00,9,23.06.2021 13:50,23.06.2021 14:49,Platoon,A2UT,A2UV,A2UV,A2UT,S2,S2,S2,S2
meas-09,9,Wednesday,23.06.2021,14:00,10,23.06.2021 14:54,23.06.2021 15:55,Platoon,A2UT,A2UV,A2UV,A2UT,S2,S2,S2,S2
meas-10,10,Wednesday,23.06.2021,15:00,11,23.06.2021 16:07,23.06.2021 17:07,Platoon,A2UT,A2UV,A2UV,A2UT,S2,S2,S2,S2
meas-11,11,Thursday,24.06.2021,09:00,15,24.06.2021 08:55,24.06.2021 09:48,2x2,A3UT,A3UV,A3UV,A3UT,S3-TX,S3-RX,S3-TX,S3-RX
meas-12,12,Thursday,24.06.2021,09:00,16,24.06.2021 09:54,24.06.2021 10:44,2x2,,,A3UV,A3UT,,,S3-TX,S3-RX
meas-13,13,Thursday,24.06.2021,11:00,17,24.06.2021 11:06,24.06.2021 12:17,1x2,,,A3UV,A3UT,,,S3-TX,S3-RX
meas-14,14,Thursday,24.06.2021,13:00,12,24.06.2021 15:39,24.06.2021 16:42,1x2,,,A2DV,A3DT,,,S3-TX,S3-RX
meas-15,15,Thursday,24.06.2021,14:00,13,24.06.2021 16:48,24.06.2021 17:43,1x2,,,A3DV,A3DT,,,S3-TX,S3-RX
meas-16,16,Thursday,24.06.2021,15:00,14,24.06.2021 18:11,24.06.2021 19:00,1x2,,,A3DV,A3DT,,,S3-TX,S3-RX
